name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LOTD1	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD2	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD3	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD4	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD5	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD6	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD7	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD8	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD9	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD10	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD11	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
LOTD12	SEEG	V	n/a	n/a	LOTD	1600	depth	n/a
ROTD1	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD2	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD3	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD4	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD5	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD6	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD7	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD8	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD9	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD10	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD11	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
ROTD12	SEEG	V	n/a	n/a	ROTD	1600	depth	n/a
LTS1	ECOG	V	n/a	n/a	LTS	1600	strip	n/a
LTS2	ECOG	V	n/a	n/a	LTS	1600	strip	n/a
LTS3	ECOG	V	n/a	n/a	LTS	1600	strip	n/a
LTS4	ECOG	V	n/a	n/a	LTS	1600	strip	n/a
LTS5	ECOG	V	n/a	n/a	LTS	1600	strip	n/a
LTS6	ECOG	V	n/a	n/a	LTS	1600	strip	n/a
LTS7	ECOG	V	n/a	n/a	LTS	1600	strip	n/a
LTS8	ECOG	V	n/a	n/a	LTS	1600	strip	n/a
LFS1	ECOG	V	n/a	n/a	LFS	1600	strip	n/a
LFS2	ECOG	V	n/a	n/a	LFS	1600	strip	n/a
LFS3	ECOG	V	n/a	n/a	LFS	1600	strip	n/a
LFS4	ECOG	V	n/a	n/a	LFS	1600	strip	n/a
LFS5	ECOG	V	n/a	n/a	LFS	1600	strip	n/a
LFS6	ECOG	V	n/a	n/a	LFS	1600	strip	n/a
LFS7	ECOG	V	n/a	n/a	LFS	1600	strip	n/a
LFS8	ECOG	V	n/a	n/a	LFS	1600	strip	n/a
RTS1	ECOG	V	n/a	n/a	RTS	1600	strip	n/a
RTS2	ECOG	V	n/a	n/a	RTS	1600	strip	n/a
RTS3	ECOG	V	n/a	n/a	RTS	1600	strip	n/a
RTS4	ECOG	V	n/a	n/a	RTS	1600	strip	n/a
RTS5	ECOG	V	n/a	n/a	RTS	1600	strip	n/a
RTS6	ECOG	V	n/a	n/a	RTS	1600	strip	n/a
RTS7	ECOG	V	n/a	n/a	RTS	1600	strip	n/a
RTS8	ECOG	V	n/a	n/a	RTS	1600	strip	n/a
RFS1	ECOG	V	n/a	n/a	RFS	1600	strip	n/a
RFS2	ECOG	V	n/a	n/a	RFS	1600	strip	n/a
RFS3	ECOG	V	n/a	n/a	RFS	1600	strip	n/a
RFS4	ECOG	V	n/a	n/a	RFS	1600	strip	n/a
RFS5	ECOG	V	n/a	n/a	RFS	1600	strip	n/a
RFS6	ECOG	V	n/a	n/a	RFS	1600	strip	n/a
RFS7	ECOG	V	n/a	n/a	RFS	1600	strip	n/a
RFS8	ECOG	V	n/a	n/a	RFS	1600	strip	n/a
